Country,LifeExpectancy Both,LifeExpectancy Female,LifeExpectancy Male,UrbanPopulation Percentage,UrbanPopulation Absolute,Population Density,GDP_per_capita_PPP,Population,Log_Population,TotalGDP,LogGDPperCapita,LogPopulation
Afghanistan,66.5,68.1,64.9,26.7,11704638,67,2144.1665,40000360.0,7.602063899960711,85767431899.93999,3.3312585064048905,7.602063899960711
Albania,80.0,81.7,78.1,70.3,1948831,101,16353.809,2849591.0,6.454782530468232,46601666942.118996,4.2136189212178214,6.454782530468232
Algeria,76.7,78.1,75.3,74.4,35291973,20,14496.865,44761051.0,7.650900275312562,648894913605.115,4.16127409462075,7.650900275312562
Angola,65.0,67.5,62.4,68.8,26847887,31,7408.1265,34532382.0,7.538226536466343,255820254202.323,3.8697083896812887,7.538226536466343
Antigua And Barbuda,77.9,80.6,74.9,28.5,26823,214,25733.295,92316.0,4.965276978485372,2375594861.22,4.41049539867433,4.965276978485372
Argentina,77.7,80.2,75.1,96.0,44010474,17,26300.273,45312226.0,7.656215397773324,1191723914037.698,4.419960256542161,7.656215397773324
Armenia,76.0,79.7,71.8,63.8,1882155,104,15921.705,2870293.0,6.457926231851837,45699958409.565,4.201989572977212,6.457926231851837
Aruba,76.6,79.1,74.0,44.7,48340,601,35696.31,107524.0,5.031505412197983,3838210036.4399996,4.552623324530551,5.031505412197983
Australia,84.2,86.0,82.4,86.5,23335357,4,57321.562,25956358.0,7.414243755483338,1487858984391.196,4.75831801631599,7.414243755483338
Austria,82.3,84.6,80.0,58.6,5337973,111,63576.242,8967006.0,6.952647460354016,570088543471.452,4.803294853133673,6.952647460354016
Azerbaijan,74.7,77.4,71.9,58.7,6101378,126,20111.375,10234332.0,7.010059501304194,205826488726.5,4.303441764007912,7.010059501304194
Bahamas,74.9,78.5,71.2,88.4,356391,40,29340.473,396326.0,5.59805256409836,11628392302.198,4.46746711085812,5.59805256409836
Bahrain,81.6,82.3,81.0,0.0,0,2162,54954.676,1501708.0,6.1765854943744705,82525876586.608,4.740004651711246,6.1765854943744705
Bangladesh,75.2,76.9,73.6,42.6,74837709,1350,7441.0693,167658798.0,8.224426348236639,1247560734672.7014,3.871635349218033,8.224426348236639
Barbados,76.5,78.9,73.9,32.5,91766,657,15683.885,282111.0,5.450420020384942,4424596481.235,4.195453649233339,5.450420020384942
Belarus,74.8,79.4,69.9,84.4,7589573,44,27611.18,9251315.0,6.966203468593448,255439723701.7,4.441084967180299,6.966203468593448
Belgium,82.4,84.6,80.3,98.8,11613585,388,61873.965,11570794.0,7.063363161716405,715930902978.21,4.791507947318624,7.063363161716405
Belize,73.9,76.8,71.2,48.6,205478,19,11677.461,395312.0,5.5969399978863095,4616240462.832,4.067348425519822,5.5969399978863095
Benin,61.1,62.6,59.7,47.8,7076087,131,3464.2886,13413371.0,7.12753793689102,46467788242.8706,3.539614064686701,7.12753793689102
Bhutan,73.5,75.6,71.8,50.3,400623,21,13458.8125,775407.0,5.8895297172897765,10436057424.1875,4.129006742841276,5.8895297172897765
Bolivia,68.9,71.5,66.4,70.6,8887268,12,9454.198,11937318.0,7.076906763255824,112857767960.964,3.9756246935250674,7.076906763255824
Bosnia And Herzegovina,78.2,81.2,74.9,56.3,1768228,62,18544.076,3244869.0,6.511197168401248,60173097346.04401,4.268205198511291,6.511197168401248
Botswana,69.4,72.0,66.9,75.6,1937024,5,17961.357,2401410.0,6.380466314799339,43132582313.37,4.254339144989907,6.380466314799339
Brazil,76.2,79.3,73.1,91.4,194451506,25,18075.705,209550238.0,8.321288158426976,3787768284767.7905,4.257095244923072,8.321288158426976
Brunei,75.7,77.9,73.7,80.1,373730,88,78248.8,451676.0,5.654827014748957,35343104988.8,4.893477686060347,5.654827014748957
Bulgaria,76.0,79.5,72.5,77.1,5179498,62,29536.678,6877173.0,6.837409949454768,203128844451.294,4.470361648477698,6.837409949454768
Burkina Faso,61.5,63.6,59.3,33.7,8113116,88,2486.431,21995205.0,7.342328014048908,54689559563.355,3.3955764117946505,7.342328014048908
Burundi,64.0,66.1,61.9,14.9,2146694,560,836.6656,12965439.0,7.112787226238405,10847736800.1984,2.9225519130788147,7.112787226238405
Cabo Verde,76.4,79.5,73.3,78.6,414288,131,7685.4194,516610.0,5.713162808540329,3970364516.2339997,3.885667572308863,5.713162808540329
Cambodia,71.0,73.5,68.3,26.5,4721141,101,6225.5327,16974258.0,7.22979079894378,105673798237.2366,3.794176518622766,7.22979079894378
Cameroon,64.2,66.5,62.0,59.4,17739676,63,4793.556,26915707.0,7.430005791997371,129021948784.092,3.680657805317177,7.430005791997371
Canada,82.9,85.0,80.7,80.2,32164167,4,55781.7,38454011.0,7.584941646200264,2145030105398.7,4.746491745666297,7.584941646200264
Central African Republic,57.9,59.8,55.7,44.5,2451673,9,1128.5524,5112047.0,6.708594838058563,5769212910.7628,3.0525217286796433,6.708594838058563
Chad,55.4,57.4,53.5,22.4,4700984,17,1700.167,17828225.0,7.251108106435106,30310959813.574997,3.230491582329066,7.251108106435106
Chile,81.5,83.4,79.7,84.8,16850412,27,29105.102,19456275.0,7.289059696066042,566276868415.0499,4.463969125626037,7.289059696066042
China,78.4,81.2,75.7,67.5,956553854,151,20406.73,1426437224.0,9.154252663570873,29108919292117.52,4.309773418398947,9.154252663570873
Colombia,78.1,80.8,75.4,80.5,43010759,48,17700.06,51188120.0,7.709169179391636,906032795287.2001,4.247974738543996,7.709169179391636
Comoros,67.2,69.4,65.2,33.6,296345,474,3441.2117,818133.0,5.9128239106039135,2815368851.7560997,3.536711390817305,5.9128239106039135
Congo,66.2,67.9,64.5,69.8,4524254,19,6263.2114,5892137.0,6.7702728362107,36903699628.7618,3.7967970705395713,6.7702728362107
Costa Rica,81.2,83.7,78.6,85.2,4390911,101,24140.434,5059939.0,6.704145281242352,122149123473.526,4.382745073636676,6.704145281242352
Cote D'Ivoire,62.3,64.5,60.3,49.0,16021559,103,6045.2046,29639680.0,7.471873510542634,179177929878.528,3.7814110041458897,7.471873510542634
Croatia,78.9,82.0,75.8,61.7,2374884,69,36914.113,3924558.0,6.593790751789512,144871577487.054,4.567192437330241,6.593790751789512
Curacao,77.2,81.1,72.9,80.8,149822,418,25163.994,185279.0,5.267826198050937,4662359644.326,4.400779572961578,5.267826198050937
Cyprus,82.0,83.9,80.0,61.1,838047,148,49929.84,1317269.0,6.11967447145864,65771030406.96,4.698360174362171,6.11967447145864
Democratic Republic Of Congo,62.2,64.4,60.1,45.0,50722858,50,1313.6182,99148879.0,7.996287808335912,130243771963.99779,3.118469156907533,7.996287808335912
Denmark,82.2,84.1,80.4,87.4,5248366,141,70342.32,5856724.0,6.767654758243205,411975553759.68005,4.847216687930061,6.767654758243205
Djibouti,66.4,69.0,63.9,71.3,843657,51,5947.861,1121203.0,6.049684251130437,6668759596.783,3.774360810616837,6.049684251130437
Dominican Republic,74.0,77.2,70.8,86.4,9950299,238,21912.26,11123434.0,7.046238882301928,243739577900.84,4.3406871723992175,7.046238882301928
Ecuador,77.8,80.5,75.1,66.0,12062680,74,13539.711,17682398.0,7.247541161556412,239414558706.978,4.131609394596928,7.247541161556412
Egypt,72.0,74.2,69.8,40.9,48427431,119,15579.016,110956950.0,8.045154510282469,1728600099361.2,4.1925400233451535,8.045154510282469
El Salvador,72.5,76.7,68.0,79.9,5085472,307,10809.714,6255737.0,6.796278482083492,67622727829.218,4.033814203679032,6.796278482083492
Equatorial Guinea,64.1,66.1,62.4,63.6,1232213,69,16821.45,1758752.0,6.245204604309736,29584758830.4,4.225863429027703,6.245204604309736
Estonia,79.5,83.3,75.4,66.9,899102,32,45063.543,1331699.0,6.124406073624548,60011075149.557,4.653825333967029,6.124406073624548
Eswatini,64.4,67.3,61.4,31.3,392638,73,9846.207,1206548.0,6.081544604090197,11879921363.436,3.9932689618463204,6.081544604090197
Ethiopia,67.9,71.3,64.6,22.5,30487323,135,2588.413,122138537.0,8.086852713624213,316144976971.781,3.413033572348627,8.086852713624213
Fiji,67.6,69.7,65.6,60.8,567088,51,10685.197,916669.0,5.962212544586056,9794788848.793,4.0287825335402605,5.962212544586056
Finland,82.2,84.9,79.6,86.7,4874169,19,57350.87,5541019.0,6.743589639346154,317782260336.53,4.7585400104383915,6.743589639346154
France,83.6,86.3,80.7,82.5,55018724,122,53901.11,66083491.0,7.820092977441706,3561973517575.0103,4.731597708821455,7.820092977441706
Gabon,68.7,71.4,66.2,83.7,2171202,10,18523.58,2376684.0,6.3759714424857385,44024696208.72,4.267724925326052,6.3759714424857385
Gambia,66.3,68.0,64.5,61.3,1731095,279,2777.7961,2575965.0,6.410939957907444,7155505530.7365,3.443700363829668,6.410939957907444
Georgia,74.8,79.4,69.9,62.0,2358908,55,18915.654,3788400.0,6.578455827939842,71660063613.59999,4.27682136141946,6.578455827939842
Germany,81.7,84.0,79.4,76.5,64345635,241,62950.047,83697031.0,7.922710052459372,5268732035210.457,4.7989960586985765,7.922710052459372
Ghana,65.9,68.4,63.5,58.6,20539206,154,6607.503,32518607.0,7.512131933441997,214866793308.32098,3.820037368986215,7.512131933441997
Greece,82.2,84.6,79.7,89.5,8897137,77,33577.51,10579511.0,7.024465594456294,355233636397.61005,4.526048487116048,7.024465594456294
Grenada,75.5,78.6,72.7,35.5,41685,345,15298.123,116645.0,5.066866127450825,1784449557.335,4.184638148415697,5.066866127450825
Guatemala,72.9,75.2,70.6,56.6,10568383,174,11828.33,17598598.0,7.245478070932538,208162024681.34,4.072923432457039,7.245478070932538
Guinea,61.1,62.3,59.8,40.3,6082701,61,3738.8052,13710470.0,7.137052342820718,51260776530.444,3.572732838042967,7.137052342820718
Guinea-Bissau,64.4,66.7,62.0,46.2,1038474,80,2450.978,2058795.0,6.313613104849627,5046061251.51,3.389339413038499,6.313613104849627
Guyana,70.4,74.2,66.7,26.6,222762,4,22865.932,815445.0,5.911394674141442,18645909919.74,4.359188907628273,5.911394674141442
Haiti,65.3,68.7,62.1,61.7,7343428,432,3134.9502,11374546.0,7.055934071383689,35658635257.6092,3.4962306462713664,7.055934071383689
Honduras,73.2,75.9,70.6,58.3,6421078,98,6202.981,10289829.0,7.012408157563844,63827613780.249,3.792600450904158,7.012408157563844
Hong Kong,85.8,88.4,83.1,0.0,0,7044,65884.94,7484547.0,6.874165519929057,493118930022.18,4.8187861547707564,6.874165519929057
Hungary,77.3,80.5,74.1,72.0,6937818,106,38648.0,9707794.0,6.987120552001421,375186822512.0,4.587127024478463,6.987120552001421
Iceland,83.2,84.6,81.8,84.0,334395,4,62032.27,372597.0,5.571239353811188,23113037705.19,4.7926176739657995,5.571239353811188
India,72.5,74.1,71.0,37.1,542742539,492,8050.0186,1414203840.0,9.150512012153156,11384367216191.424,3.9057968838297357,9.150512012153156
Indonesia,71.4,73.6,69.3,59.6,170361295,158,12757.074,276758010.0,8.442100199192888,3530622413662.74,4.105751074747691,8.442100199192888
Iran,78.1,80.0,76.2,73.3,67760281,57,14951.895,88455443.0,7.946724561860041,1322576495914.485,4.174696238539267,7.946724561860041
Iraq,72.5,74.3,70.6,72.4,34038857,108,12731.754,43071162.0,7.634186588581279,548371439078.148,4.104888238692707,7.634186588581279
Ireland,82.7,84.7,80.8,62.1,3294830,77,118102.766,5028387.0,6.701428694928134,593866413218.442,5.072260069031549,6.701428694928134
Israel,82.8,84.8,80.7,91.4,8698204,440,46238.223,8942868.0,6.951476820454329,413502324843.56396,4.665001135184884,6.951476820454329
Italy,84.0,86.0,81.9,72.0,42568771,201,50465.086,59729300.0,7.776187425044766,3014244261219.8003,4.702991017692176,7.776187425044766
Jamaica,71.7,74.3,69.2,60.2,1706544,262,9577.164,2837634.0,6.452956379130338,27176486189.976,3.9812369243715726,6.452956379130338
Japan,85.0,88.0,82.0,93.1,114645589,338,44549.34,125679288.0,8.099263711667922,5598929332069.92,4.648841274332909,8.099263711667922
Jordan,78.1,80.5,76.1,85.1,9802267,130,9182.496,11066310.0,7.044002831918587,101616347309.76,3.9629607478337423,7.044002831918587
Kazakhstan,74.7,78.6,70.4,55.1,11494249,8,32945.85,19743565.0,7.295425573867492,650468530955.25,4.517800716787108,7.295425573867492
Kenya,64.0,66.3,61.8,31.9,18371967,101,5338.8525,53219122.0,7.726067705358164,284129042537.505,3.727447922483501,7.726067705358164
Kiribati,66.7,68.5,64.8,57.3,78192,169,3049.4739,128346.0,5.108382338102923,391387777.1694,3.484224920646832,5.108382338102923
Kuwait,80.8,82.1,79.6,91.6,4602914,282,50689.043,4360703.0,6.639556508628594,221039861877.229,4.704914091899224,6.639556508628594
Kyrgyzstan,72.0,75.6,68.4,35.3,2573712,38,5736.479,6820433.0,6.83381194702324,39125270675.407005,3.758645408066192,6.83381194702324
Laos,69.5,71.8,67.3,38.3,3018824,34,8080.4355,7453143.0,6.872339453917105,60224641283.7765,3.907434767971368,6.872339453917105
Latvia,76.5,80.7,71.9,67.5,1250246,30,35604.9,1885546.0,6.275437131969683,67134676775.4,4.551509770347099,6.275437131969683
Lebanon,78.1,80.0,76.0,86.0,5032693,572,11599.775,5718083.0,6.757250455005948,66328476231.325,4.06444956532984,6.757250455005948
Lesotho,58.2,60.9,55.4,32.8,774177,78,2544.7825,2261496.0,6.354395823928295,5755015444.62,3.4056506695465067,6.354395823928295
Liberia,62.5,63.8,61.1,55.0,3150252,60,1539.2089,5259278.0,6.720926127777705,8095127505.1742,3.187297565874685,6.720926127777705
Libya,73.2,75.3,71.2,77.5,5780434,4,12641.51,7135138.0,6.8534023771786154,90198918378.38,4.1017989525460585,6.8534023771786154
Lithuania,76.3,80.9,71.6,68.2,1929035,45,46575.69,2794443.0,6.44629525546635,130153110890.67001,4.668159297512946,6.44629525546635
Luxembourg,82.5,84.1,80.9,87.2,593272,263,137947.34,640233.0,5.806338055544667,88318439330.22,5.139713330516837,5.806338055544667
Macao,83.4,85.5,81.3,97.1,701381,24067,74177.78,694363.0,5.8415865708609065,51506305854.14,4.870273831578504,5.8415865708609065
Madagascar,64.0,65.8,62.3,40.3,13199949,56,1599.4127,29691033.0,7.472625307680096,47488215256.3191,3.2039605401731923,7.472625307680096
Malawi,67.7,71.0,64.4,19.8,4407124,236,1687.5936,20047218.0,7.302054113062053,33831556794.604797,3.2272678697022856,7.302054113062053
Malaysia,77.0,79.7,74.6,77.4,27844592,110,29822.85,34282367.0,7.535070799819129,1022397888685.95,4.474549144151506,7.535070799819129
Maldives,81.5,83.2,80.2,39.6,209810,1766,19052.623,516123.0,5.712753212975233,9833496940.629,4.279954774027805,5.712753212975233
Mali,60.9,62.4,59.5,44.4,11190626,21,2347.6274,22388587.0,7.350026685027567,52560060288.483795,3.370629169677522,7.350026685027567
Malta,83.6,85.5,81.7,76.5,417398,1704,58199.4,524335.0,5.719608848367043,30515982399.0,4.76491850736411,5.719608848367043
Mauritania,68.9,71.0,66.9,60.3,3206736,5,5836.566,4734824.0,6.675303840308794,27635112774.384,3.7661574008975016,6.675303840308794
Mauritius,75.3,78.5,72.3,41.5,526689,625,22737.572,1279587.0,6.107069819207518,29094701542.764,4.3567440872954295,6.107069819207518
Mexico,75.4,78.2,72.6,87.9,115925945,68,21031.709,127648107.0,8.106014378673757,2684657840824.863,4.322874564132515,8.106014378673757
Micronesia,71.8,74.8,69.0,23.5,26661,162,3921.725,111589.0,5.047621385687995,437621371.025,3.5934771367132523,5.047621385687995
Micronesia,71.8,74.8,69.0,23.5,26661,162,3921.725,111589.0,5.047621385687995,437621371.025,3.5934771367132523,5.047621385687995
Moldova,71.5,75.8,66.8,57.7,1729211,91,15682.07,3023731.0,6.480543152433655,47418361203.17,4.195403388083277,6.480543152433655
Mongolia,72.2,76.9,67.8,67.2,2362934,2,14792.251,3339627.0,6.523697963551752,49400600830.377,4.170034267471703,6.523697963551752
Montenegro,77.4,80.6,74.1,68.7,434519,47,24509.936,603805.0,5.780896705016027,14799221906.480001,4.389342177229919,5.780896705016027
Morocco,75.7,78.0,73.5,67.3,25869035,86,8623.266,36954394.0,7.567666084855283,318667569330.804,3.9356717828941425,7.567666084855283
Mozambique,64.0,66.9,60.7,41.6,14810679,45,1457.2354,31707757.0,7.5011655212142,46205665954.9978,3.1635297128292255,7.5011655212142
Myanmar,67.3,70.6,64.2,34.1,18722491,84,5178.4473,53387059.0,7.727435996991049,276462071533.49066,3.7141995608790186,7.727435996991049
Namibia,67.7,71.6,63.6,54.4,1683548,4,9709.1,2810509.0,6.448784980358036,27287512931.9,3.9871789741768957,6.448784980358036
Nepal,70.9,72.4,69.3,24.5,7265589,207,4546.2295,29474963.0,7.4694532685964425,133999946302.00851,3.6576513557329466,7.4694532685964425
Netherlands,82.4,84.0,80.9,88.9,16318658,544,69323.33,17730519.0,7.24872144826517,1229138619708.27,4.840879416215704,7.24872144826517
New Zealand,82.4,84.0,80.8,83.6,4388310,20,48194.043,5107644.0,6.708220619557801,246158014564.692,4.682993360809177,6.708220619557801
Nicaragua,75.3,77.7,72.6,58.1,4071293,58,7086.6226,6644688.0,6.822474593546699,47088396150.748795,3.850439304907455,6.822474593546699
Niger,61.7,62.7,60.7,18.2,5067678,22,1585.5992,24502100.0,7.389203308010562,38850510158.32,3.20019341802183,7.389203308010562
Nigeria,54.8,55.1,54.5,54.9,130312056,261,5491.7,218529237.0,8.339509549399498,1200097010832.9,3.739706804620217,8.339509549399498
North Macedonia,77.7,79.8,75.4,69.4,1258951,72,22371.496,1851059.0,6.267420261522258,41410959014.264,4.34969502669034,6.267420261522258
Norway,83.6,85.1,82.1,85.9,4830373,15,89209.14,5408030.0,6.733039092104867,482445705394.2,4.950409352674451,6.733039092104867
Oman,80.5,82.2,78.9,90.8,4989686,18,38719.457,4500378.0,6.6532489929797185,174252192454.746,4.587929258151923,6.6532489929797185
Pakistan,67.9,70.5,65.6,34.4,87777053,331,5367.2734,239477758.0,8.379265183611002,1285342600405.037,3.7297537180906857,8.379265183611002
Panama,80.0,82.8,77.1,70.7,3229574,61,30932.764,4345360.0,6.638025762266137,134413995375.04,4.490418728160822,6.638025762266137
Papua New Guinea,66.4,69.3,63.9,12.6,1351201,24,3976.9038,10012849.0,7.000557666783448,39820137236.9262,3.599545085671807,7.000557666783448
Paraguay,74.1,77.2,71.1,68.0,4770669,18,15406.167,6684130.0,6.825044887919979,102976823029.70999,4.1876946012225345,6.825044887919979
Peru,78.1,80.5,75.8,80.6,27880400,27,15282.273,33155845.0,7.5205601006890115,506696674835.685,4.184187953581428,7.5205601006890115
Philippines,70.1,73.1,67.1,49.3,57606092,392,8857.79,113100906.0,8.053466083875275,1001824074157.7401,3.9473253798410073,8.053466083875275
Poland,79.0,82.6,75.3,59.2,22598335,125,41774.582,38040252.0,7.580243385285538,1589115626474.664,4.62091211299986,7.580243385285538
Portugal,82.7,85.4,79.9,66.5,6926293,114,38862.09,10390906.0,7.016653416050578,403812324153.54,4.589526153213311,7.016653416050578
Puerto Rico,82.1,85.5,78.5,0.0,0,365,40559.7,3253158.0,6.51230515669156,131947112532.59999,4.608094734076108,6.51230515669156
Qatar,82.7,83.6,82.0,96.6,3010901,268,116832.57,2814939.0,6.449468988085967,328876557763.23004,5.067563930100526,6.449468988085967
Romania,76.2,79.8,72.7,55.2,10431178,82,38071.176,19248115.0,7.284388204744118,732798373833.24,4.5805962921656285,7.284388204744118
Russia,73.5,79.3,67.7,75.0,108062384,9,38938.496,145836117.0,8.163865092372623,5678639058460.032,4.5903791728769985,8.163865092372623
Rwanda,68.2,70.4,65.9,18.3,2659944,591,2731.09,13355214.0,7.125650851419504,36474291403.26,3.436336012061864,7.125650851419504
Saint Lucia,73.0,76.6,69.6,19.9,35853,295,19101.166,178489.0,5.251611456378157,3409348018.1740003,4.281059878866041,5.251611456378157
Samoa,71.9,74.0,70.1,16.3,35747,77,6214.017,213745.0,5.329895964346141,1328215063.665,3.793372437041919,5.329895964346141
Sao Tome And Principe,70.1,74.1,66.6,78.2,187994,250,5732.6943,221926.0,5.346208185490504,1272233915.2218,3.758358783330071,5.346208185490504
Saudi Arabia,79.2,81.5,77.6,92.1,31842626,16,55768.234,31328320.0,7.495937106203369,1747125080586.88,4.746386892004587,7.495937106203369
Senegal,69.2,71.3,67.2,52.3,9903731,98,4173.6772,17220821.0,7.23605385253402,71874147972.9812,3.620518856880871,7.23605385253402
Serbia,77.1,80.3,73.9,73.6,4923756,76,23668.523,6835386.0,6.83476304457123,161783490754.87802,4.37417115725465,6.83476304457123
Seychelles,73.1,76.8,70.2,43.8,58120,289,29979.828,122951.0,5.089732065345706,3686049832.428,4.476829136889006,5.089732065345706
Sierra Leone,62.1,63.9,60.4,45.5,4017056,122,2848.706,8094551.0,6.908192763697114,23058996001.006,3.45464763029733,6.908192763697114
Singapore,84.0,86.5,81.5,0.0,0,8387,131864.1,5546240.0,6.743998658682243,731349945984.0,5.120126574969747,6.743998658682243
Slovakia,78.7,81.8,75.4,54.0,2955290,114,38437.492,5442712.0,6.73581535432076,209204198958.304,4.5847550427297366,6.73581535432076
Slovenia,81.9,84.6,79.3,55.7,1179249,105,46274.28,2113450.0,6.324991977747741,97798377066.0,4.665339670116253,6.324991977747741
Solomon Islands,70.8,72.3,69.5,22.8,190885,30,2518.4216,762546.0,5.8822660472891055,1920412317.3936,3.401128435552136,5.8822660472891055
Somalia,59.1,61.7,56.6,46.6,9168559,31,1392.4642,17271386.0,7.237327190375753,24049786689.3812,3.143784038357569,7.237327190375753
South Africa,66.5,70.0,63.0,66.6,43112579,53,13711.294,61502553.0,7.788893143918498,843279585933.582,4.137078443158624,7.788893143918498
South Korea,84.5,87.4,81.4,82.4,42587468,531,48571.434,51848358.0,7.714735007150691,2518349098605.372,4.686380925566791,7.714735007150691
Spain,84.0,86.6,81.3,79.3,37995950,96,44091.11,47735610.0,7.678842476664015,2104716031427.1,4.644351032389643,7.678842476664015
Sri Lanka,77.9,80.9,74.7,18.1,4193316,370,14316.135,22700326.0,7.356032094152791,324980931560.01,4.155825785099261,7.356032094152791
State Of Palestine,73.1,76.9,69.7,84.2,4707958,929,5663.1216,5185289.0,6.714772966628155,29364922138.142403,3.7530558870091917,6.714772966628155
Sudan,66.7,70.0,63.6,35.3,18220482,29,3248.9756,48066876.0,7.681845897039204,156168107292.22562,3.5117464497798396,7.681845897039204
Suriname,73.9,77.1,70.7,62.4,399428,4,18458.234,617863.0,5.790892188778336,11404659833.942,4.266190147353832,5.790892188778336
Sweden,83.6,85.3,81.8,87.4,9309134,26,63124.598,10416075.0,7.0177040983332635,657510547112.85,4.800198625393052,7.0177040983332635
Switzerland,84.2,86.1,82.3,74.4,6668094,227,81603.21,8706973.0,6.939867197730534,710516946183.3301,4.911707242796352,6.939867197730534
Syria,73.0,75.4,70.6,53.6,13735765,140,4592.8384,21628791.0,7.335032244048281,99337541850.37439,3.662081164942647,7.335032244048281
Tajikistan,72.1,74.3,69.8,27.7,2987515,77,3985.9126,9966868.0,6.99855870655519,39727064743.7368,3.600527771596314,6.99855870655519
Tanzania,67.4,70.2,64.6,40.0,28244987,80,3493.083,62830365.0,7.798169582667164,219471679865.295,3.543208905137716,7.798169582667164
Thailand,76.8,81.2,72.6,53.5,38343775,140,20245.242,71727293.0,7.855684440798541,1452136404789.9058,4.306322972442366,7.855684440798541
Togo,63.1,63.4,62.9,44.2,4295574,179,2577.202,8878342.0,6.948331870341528,22881280759.084003,3.411148459702334,6.948331870341528
Tonga,73.2,76.7,69.6,26.0,26950,144,7034.925,105450.0,5.023046584075505,741832841.25,3.8472594717409465,5.023046584075505
Trinidad And Tobago,73.7,77.0,70.6,49.1,741616,295,30826.209,1487659.0,6.172503393985348,45858887254.730995,4.488920118576189,6.172503393985348
Tunisia,76.9,79.5,74.3,71.7,8853818,79,12375.343,12048573.0,7.080935613307213,149105223535.539,4.092557244853519,7.080935613307213
Turkey,77.8,80.8,74.9,76.9,67446349,114,31637.53,86686206.0,7.937949995576651,2742537442911.1797,4.500202569982298,7.937949995576651
Turkmenistan,70.3,73.2,67.1,46.5,3540511,16,16434.14,7091984.0,6.850767747131989,116550657933.76,4.21574698234361,6.850767747131989
Uganda,68.7,71.6,65.7,30.0,15430672,257,2684.9204,45910886.0,7.661915673972688,123267074403.4744,3.4289314146712537,7.661915673972688
Ukraine,74.9,79.5,70.0,76.8,29923619,67,17846.408,44298591.0,7.646389912889965,790570728811.1279,4.251550817492471,7.646389912889965
United Arab Emirates,83.2,84.4,82.4,81.1,9207088,136,67401.125,9789001.0,6.990738372873096,659789680026.125,4.828667145455419,6.990738372873096
United Kingdom,81.6,83.4,79.7,84.5,58798650,287,52872.195,67668749.0,7.830388147705297,3577795292534.055,4.7232273406037075,7.830388147705297
United States,79.6,82.1,77.2,82.8,287421363,38,71318.305,340161392.0,8.531685020055932,24259733903880.56,4.853201012883933,8.531685020055932
United States Virgin Islands,75.9,81.6,70.9,0.0,0,240,46893.55,87184.0,4.9404367905600335,4088367263.2000003,4.6711131115414,4.9404367905600335
Uruguay,78.5,82.2,74.6,0.0,0,19,29441.477,3396643.0,6.531049903279341,100002186761.711,4.468959593602265,6.531049903279341
Uzbekistan,72.7,75.7,69.7,48.1,17835913,87,9247.644,34243658.0,7.534580150992261,316673158441.752,3.966031102671236,7.534580150992261
Vanuatu,71.8,74.3,69.7,25.4,85244,27,3135.8367,305836.0,5.48548860495183,959051752.9812,3.4963534385355306,5.48548860495183
Vietnam,74.9,79.5,70.2,41.4,42039428,328,12048.902,98935054.0,7.995350195150873,1192058770010.708,4.080947472050467,7.995350195150873
Zambia,66.7,69.1,64.3,46.8,10256668,29,3503.035,19603556.0,7.292334857637082,68671942792.46,3.5444444765214977,7.292334857637082
Zimbabwe,63.3,65.6,60.8,37.9,6429761,44,3184.7854,15797165.0,7.198579154338664,50310580453.39101,3.5030801736460084,7.198579154338664
